OBJID;RA;DEC;NH;ENERGY_SLOPE;ENERGY_SLOPE_ERROR;EXPOSURE_TIME;nufnu_3keV(erg.s-1.cm-2);nufnu_error_3keV(erg.s-1.cm-2);nufnu_0.5keV(erg.s-1.cm-2);nufnu_error_0.5keV(erg.s-1.cm-2);upper_limit_0.5keV(erg.s-1.cm-2);nufnu_1.5keV(erg.s-1.cm-2);nufnu_error_1.5keV(erg.s-1.cm-2);upper_limit_1.5keV(erg.s-1.cm-2);nufnu_4.5keV(erg.s-1.cm-2);nufnu_error_4.5keV(erg.s-1.cm-2);upper_limit_4.5keV(erg.s-1.cm-2)
4404;50.68744583333333;0.8517741666666666;7.06e+20;0.8;-999/-999;16941.9;1.03566e-14;4.07186e-15;2.7459599999999998e-15;3.06e-15;-999.0;9.25262e-15;5.8636e-15;-999.0;1.79331e-14;9.99174e-15;-999.0
4405;50.716041666666655;0.903648888888889;7.15e+20;0.8;-999/-999;16998.7;1.0170700000000001e-14;4.08148e-15;3.6107599999999995e-15;3.5171500000000004e-15;-999.0;8.07041e-15;5.55214e-15;-999.0;1.75773e-14;9.73805e-15;-999.0
4406;50.66324583333332;0.8278169444444444;7.03e+20;0.8;-999/-999;15829.5;1.17258e-14;4.38172e-15;1.0649600000000002e-14;5.99641e-15;-999.0;7.98455e-15;5.66008e-15;-999.0;1.16076e-14;8.22836e-15;-999.0
4407;50.501920833333315;0.9360341666666667;6.98e+20;0.8;-999/-999;16556.0;1.1147499999999999e-14;4.21956e-15;1.68349e-14;7.40432e-15;-999.0;7.59577e-15;5.3547e-15;-999.0;1.10481e-14;-1.46277e-11;3.64581e-14
4408;50.6279375;0.8028969444444445;6.98e+20;0.8;-999/-999;16780.2;1.37042e-14;4.6883999999999994e-15;6.44242e-15;4.677279999999999e-15;-999.0;1.8170900000000002e-14;8.233410000000001e-15;-999.0;1.05708e-14;7.67454e-15;-999.0
4409;50.49005;0.9333736111111112;6.97e+20;0.8;-999/-999;15729.7;3.3138499999999997e-14;6.8745599999999994e-15;2.5031599999999998e-14;8.68081e-15;-999.0;3.38949e-14;1.0708e-14;-999.0;2.46611e-14;1.09394e-14;-999.0
4410;50.777237499999984;0.8832019444444444;7.16e+20;0.8;-999/-999;14446.2;2.23611e-14;6.12417e-15;2.0418200000000002e-14;8.62161e-15;-999.0;7.604389999999999e-15;5.4669400000000004e-15;-999.0;3.3110000000000004e-14;1.3980700000000001e-14;-999.0
4411;50.57820833333332;0.7533563888888889;6.91e+20;0.8;-999/-999;16997.8;2.12614e-14;5.927620000000001e-15;6.40544e-15;4.5927e-15;-999.0;2.1766099999999997e-14;9.24744e-15;-999.0;3.16818e-14;1.34601e-14;-999.0
4412;50.794725;0.9044925;7.17e+20;0.615;+0.27/-0.20;12817.8;8.45334e-14;1.22848e-14;4.12393e-14;1.09865e-14;-999.0;6.544289999999999e-14;1.52523e-14;-999.0;9.817819999999999e-14;2.28817e-14;-999.0
4413;50.4717;0.8124111111111112;6.88e+20;0.8;-999/-999;17281.3;1.94981e-14;5.61096e-15;1.17345e-14;6.2711000000000005e-15;-999.0;1.99612e-14;8.75536e-15;-999.0;1.93811e-14;1.03575e-14;-999.0
4423;-37.094841666666696;-0.5848063888888889;3.55e+20;0.8;-999/-999;1487.3;6.36241e-14;2.8245999999999997e-14;2.33402e-14;2.2661599999999997e-14;-999.0;0.0;-7.15324e-11;2.13201e-13;1.94418e-13;9.44038e-14;-999.0
4424;-37.20535000000007;-0.5911816666666667;3.57e+20;0.8;-999/-999;1473.8;6.23504e-13;8.33788e-14;7.324890000000001e-13;1.2198599999999998e-13;-999.0;3.79238e-13;1.04103e-13;-999.0;2.8559e-13;1.1069700000000001e-13;-999.0
4441;-13.462041666666664;0.14565444444444445;3.9e+20;0.8;-999/-999;3853.3;9.10034e-14;1.99976e-14;1.18578e-13;3.1027e-14;-999.0;6.870239999999998e-14;2.71214e-14;-999.0;0.0;-7.55096e-11;2.2696100000000002e-13
4442;-13.515895833333389;0.0060374999999999995;3.91e+20;0.8;-999/-999;3981.7;3.57082e-14;1.4003200000000002e-14;9.49568e-15;9.777710000000001e-15;-999.0;2.56726e-14;1.9380299999999998e-14;-999.0;7.702230000000001e-14;3.96716e-14;-999.0
