,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,B,AB_MAG_AUTO,AB_MAG_AUTO,AB_MAG_AUTO,AB_MAG_AUTO,AB_MAG_AUTO
,OBJID_A,RA,DEC,NH,ENERGY_SLOPE,ENERGY_SLOPE_ERROR,EXPOSURE_TIME,nufnu_3keV(erg.s-1.cm-2),nufnu_error_3keV(erg.s-1.cm-2),nufnu_0.5keV(erg.s-1.cm-2),nufnu_error_0.5keV(erg.s-1.cm-2),upper_limit_0.5keV(erg.s-1.cm-2),nufnu_1.5keV(erg.s-1.cm-2),nufnu_error_1.5keV(erg.s-1.cm-2),upper_limit_1.5keV(erg.s-1.cm-2),nufnu_4.5keV(erg.s-1.cm-2),nufnu_error_4.5keV(erg.s-1.cm-2),upper_limit_4.5keV(erg.s-1.cm-2),pos_err,OBJID_B,ALPHA_J2000,DELTA_J2000,MAG_AUTO,Reliability,LR,duplicates,duplicates_LR,duplicates_R
20,84.0,-4.415945833333353,0.26130722222222225,3.38e+20,0.8,-999/-999,9190.5,3.29191e-14,8.4264e-15,2.9965699999999995e-14,1.08741e-14,-999.0,3.489750000000001e-14,1.38382e-14,-999.0,1.05325e-14,9.42157e-15,-999.0,5.0,6422765.0,-4.416116749853927,0.2616051444979694,20.10804748535156,0.9124578656895294,0.028769091462798047,6422467,0.0027601358523259454,0.08754213431047068
21,85.0,-4.396770833333393,0.18911888888888886,3.36e+20,0.8,-999/-999,9615.9,2.38017e-14,7.15734e-15,2.7571300000000002e-14,1.03086e-14,-999.0,2.20298e-14,1.0880899999999999e-14,-999.0,7.62003e-15,-2.74763e-11,5.4952599999999994e-14,5.0,6416615.0,-4.396187624195648,0.1903644326122323,21.14607810974121,0.5346232483462261,0.011224017846903621,6231616;6231697,0.004059081953867492;0.0057111571486290055,0.19334249188483305;0.27203425976894097
22,86.0,-4.38110000000006,0.14869527777777775,3.35e+20,0.8,-999/-999,9750.5,1.98384e-14,6.5941000000000004e-15,1.08235e-14,6.515e-15,-999.0,1.51547e-14,9.12212e-15,-999.0,3.05065e-14,1.59786e-14,-999.0,5.0,6227337.0,-4.380337970056189,0.14881873352843164,21.901081085205078,0.6684261107373218,0.010175907605677366,6227295,0.00504777597312929,0.33157388926267817
23,87.0,-4.507604166666682,0.29244472222222223,3.41e+20,0.8,-999/-999,9673.3,6.61288e-14,1.18087e-14,2.51084e-14,9.61488e-15,-999.0,5.6045e-14,1.6813499999999998e-14,-999.0,1.1627999999999999e-13,2.99005e-14,-999.0,5.0,6425388.0,-4.508311547087602,0.2922739976695937,18.894733428955078,0.7854697308129658,0.027734324810457636,6425244,0.0075748968214853895,0.21453026918703422
24,89.0,-4.53567083333337,0.23036111111111116,3.4e+20,0.8,-999/-999,10049.5,2.0123900000000002e-14,6.88597e-15,3.66678e-15,3.9126e-15,-999.0,4.09557e-14,1.56282e-14,-999.0,7.723059999999997e-15,8.24081e-15,-999.0,5.0,6419844.0,-4.537194285093734,0.2311490234121672,20.91904830932617,0.49800083763989694,0.011581072921906353,6419821;6419759,0.007713238419886793;0.003960816052752716,0.33167904389531816;0.17032011846478493
25,90.0,-37.302070833333346,-0.24483222222222226,3.53e+20,0.8,-999/-999,18847.9,2.1818700000000002e-14,5.50407e-15,4.70393e-15,3.5092e-15,-999.0,2.92974e-14,1.00152e-14,-999.0,2.94313e-14,1.23476e-14,-999.0,5.0,5273759.0,-37.30208282308331,-0.2450300274982717,22.197948455810547,0.4935340597543082,0.008243678103743206,5273793;5273845,0.00413034799663253;0.0043293359894607504,0.2472764449706642;0.2591894952750277
26,91.0,-37.242770833333395,-0.2783730555555555,3.52e+20,0.8,-999/-999,11753.3,2.6073400000000003e-14,6.20796e-15,2.38762e-14,8.12151e-15,-999.0,2.64552e-14,1.01247e-14,-999.0,9.96848e-15,7.627400000000001e-15,-999.0,5.0,5270595.0,-37.243524508697305,-0.27890081512745696,22.28890037536621,0.5985621088142812,0.006785003003778149,5270629,0.004550500703963841,0.4014378911857188
27,92.0,-37.32775833333335,-0.3497025,3.53e+20,0.8,-999/-999,16981.3,1.78953e-14,5.22181e-15,2.2687e-14,8.045050000000002e-15,-999.0,1.04697e-14,6.321220000000001e-15,-999.0,5.25998e-15,5.44285e-15,-999.0,5.0,5262834.0,-37.32913877930514,-0.3499140872208492,19.88695526123047,0.8455454738325885,0.018466987243671563,5262922,0.0033733369200503317,0.15445452616741143
28,93.0,-37.26557916666667,-0.20340083333333334,3.53e+20,0.8,-999/-999,19003.0,2.94256e-14,6.0685899999999995e-15,7.352e-15,4.07295e-15,-999.0,3.052870000000001e-14,9.75387e-15,-999.0,5.1138e-14,1.56812e-14,-999.0,5.0,5277684.0,-37.266228825389476,-0.20255965869010745,23.84917449951172,0.48195908575179724,0.004747990711590363,5277765;5277772,0.0021120036958874044;0.0029914449614555478,0.21438529100099268;0.3036556232472101
29,94.0,-37.243425,-0.36102416666666665,3.52e+20,1.884,+0.22/-0.17,4568.4,5.69139e-14,5.18184e-15,3.57518e-13,3.4713699999999994e-14,-999.0,1.72652e-13,-3.84064e-11,3.0991e-13,5.48561e-14,1.46733e-14,-999.0,5.0,5261314.0,-37.2426319164744,-0.3603492202691541,23.68514060974121,0.36589832666427274,0.00493649272595903,5261350;5261275,0.004157080997582925;0.004397859186148477,0.3081274632138619;0.3259742101218653
