,ID,RA,DEC,countrates_0.3-10keV(ph.s-1),countrates_error_0.3-10keV(ph.s-1),exposure_time(s),countrates_0.3-1keV(ph.s-1),countrates_error_0.3-1keV(ph.s-1),upper_limit_0.3-1keV(ph.s-1),countrates_1-2keV(ph.s-1),countrates_error_1-2keV(ph.s-1),upper_limit_1-2keV(ph.s-1),countrates_2-10keV(ph.s-1),countrates_error_2-10keV(ph.s-1),upper_limit_2-10keV(ph.s-1)
971,1233,20.427620833333332,-0.7602194444444444,0.001575,0.0005099999999999999,10338.7,0.0007872,-0.5095,0.8271,0.00019690000000000002,0.0001785,-999.0,0.0013779999999999999,0.0004781000000000001,-999.0
972,1234,20.513041666666663,-0.7465947222222221,0.01158,0.0013,7619.8,0.002317,0.0005757000000000001,-999.0,0.005097,0.0008667,-999.0,0.004171,0.0008048,-999.0
973,1235,20.302037499999997,-0.5092816666666666,0.00157,0.0005200000000000001,10441.2,0.0005888,0.0003171,-999.0,0.0003925,0.00026000000000000003,-999.0,0.0005888,0.0003171,-999.0
974,1236,20.528854166666665,-0.511155,0.02247,0.0019,4154.5,0.0074930000000000005,0.001114,-999.0,0.008990999999999999,0.001179,-999.0,0.005994,0.0009828,-999.0
975,1237,20.49417083333333,-0.7936227777777778,0.004081,0.00088,6118.4,0.000583,0.0003385,-999.0,0.001749,0.0005889,-999.0,0.001749,0.0005889,-999.0
976,1238,20.333754166666665,-0.8049638888888889,0.001536,0.00054,10670.4,0.001024,0.00043919999999999994,-999.0,0.000256,0.00022319999999999998,-999.0,0.000256,0.00022319999999999998,-999.0
977,1239,322.84336249999996,0.7075516666666666,0.03458,0.0018,10934.2,0.01163,0.001029,-999.0,0.01351,0.001114,-999.0,0.009429,0.0009429,-999.0
978,1240,322.84279999999995,0.6629672222222223,0.00157,0.00045999999999999996,11814.1,0.000785,0.0003243,-999.0,0.0002616,0.0001885,-999.0,0.0005233,0.00026389999999999996,-999.0
979,1241,322.81278749999996,0.6699438888888889,0.002736,0.00058,11700.8,0.0005473,0.00026060000000000005,-999.0,0.001459,0.0004203,-999.0,0.0007296000000000001,0.00030260000000000004,-999.0
980,1242,322.77264999999994,0.7019277777777777,0.001209,0.00041,10653.9,0.0004533,0.0002562,-999.0,0.0003022,0.000205,-999.0,0.0004533,0.0002562,-999.0
981,1243,322.7837333333333,0.6808758333333333,0.0014960000000000002,0.00045,10737.4,0.00044889999999999996,0.0002459,-999.0,0.0005983,0.0002878,-999.0,0.00044889999999999996,0.0002459,-999.0
982,1244,322.83809999999994,0.8284508333333334,0.004548,0.00073,11560.8,0.00041339999999999997,0.0002129,-999.0,0.00186,0.0004502,-999.0,0.002274,0.0004927999999999999,-999.0
983,1245,322.7478,0.7433749999999999,0.002868,0.00062,10955.7,0.0014349999999999999,0.0004284,-999.0,0.001116,0.0003776,-999.0,0.0003187,0.0002029,-999.0
984,1246,322.8207166666666,0.6210413888888889,0.001318,0.00044,10935.2,0.0008234,0.0003483,-999.0,0.0001647,0.00015889999999999999,-999.0,0.0003295,0.00022,-999.0
985,1247,322.7105208333333,0.6522430555555556,0.0031219999999999998,0.0007,6924.4,0.001562,0.0005155,-999.0,0.0007806,0.0003627,-999.0,0.0007806,0.0003627,-999.0
