RA;DEC;NH;ENERGY_SLOPE;ENERGY_SLOPE_ERROR;nufnu_5keV(erg.s-1.cm-2);nufnu_error_5keV(erg.s-1.cm-2);nufnu_0.5keV(erg.s-1.cm-2);nufnu_error_0.5keV(erg.s-1.cm-2);upper_limit_0.5keV(erg.s-1.cm-2);nufnu_1.5keV(erg.s-1.cm-2);nufnu_error_1.5keV(erg.s-1.cm-2);upper_limit_1.5keV(erg.s-1.cm-2);nufnu_4.5keV(erg.s-1.cm-2);nufnu_error_4.5keV(erg.s-1.cm-2);upper_limit_4.5keV(erg.s-1.cm-2)
01:27:29.470;+01:08:32.852;2.75E+20;0.8;-999/-999;3.31753e-14;8.2215e-15;3.09603e-14;1.00091e-14;-9.990E+02;2.57639e-14;1.10325e-14;-9.990E+02;9.78388e-15;8.53935e-15;-9.990E+02
01:26:38.909;+01:06:25.247;2.92E+20;0.8;-999/-999;1.88375e-14;6.4323e-15;1.30168e-14;6.91068e-15;-9.990E+02;1.24941e-14;8.14107e-15;-9.990E+02;1.89481e-14;1.23464e-14;-9.990E+02
01:26:50.378;+01:16:11.311;2.84E+20;0.8;-999/-999;2.37174e-14;6.41424e-15;2.22306e-14;7.81494e-15;-9.990E+02;4.59383e-15;4.37017e-15;-9.990E+02;2.79011e-14;1.32662e-14;-9.990E+02
01:27:13.375;+01:14:23.941;2.78E+20;0.285;+0.44/-0.28;6.81642e-14;1.49471e-14;1.50026e-14;6.11748e-15;-9.990E+02;2.54458e-14;1.03758e-14;-9.990E+02;6.28717e-14;2.11069e-14;-9.990E+02
01:26:59.117;+01:12:47.423;2.82E+20;0.514;+0.48/-0.30;4.77771e-14;1.0729e-14;1.07628e-14;5.30082e-15;-9.990E+02;3.39166e-14;1.15838e-14;-9.990E+02;4.50503e-14;1.71758e-14;-9.990E+02
01:27:13.860;+01:13:19.311;2.78E+20;0.8;-999/-999;4.53572e-14;8.68737e-15;1.3626e-14;5.93529e-15;-9.990E+02;7.25839e-14;1.66524e-14;-9.990E+02;2.00484e-14;1.08405e-14;-9.990E+02
01:27:11.462;+01:20:23.510;2.79E+20;0.8;-999/-999;1.52917e-14;5.3361e-15;4.59359e-15;-8.54457e-12;2.30852e-11;2.03194e-14;9.3135e-15;-9.990E+02;2.31468e-14;1.22577e-14;-9.990E+02
01:27:28.140;+01:21:39.220;2.75E+20;-0.683;+0.26/-0.20;3.99589e-13;5.08879e-14;1.21811e-14;4.68704e-15;-9.990E+02;4.33012e-14;1.34753e-14;-9.990E+02;3.33977e-13;5.04766e-14;-9.990E+02
01:27:29.470;+01:08:32.852;2.75E+20;0.8;-999/-999;3.31753e-14;8.2215e-15;3.09603e-14;1.00091e-14;-9.990E+02;2.57639e-14;1.10325e-14;-9.990E+02;9.78388e-15;8.53935e-15;-9.990E+02
01:26:38.909;+01:06:25.247;2.92E+20;0.8;-999/-999;1.88375e-14;6.4323e-15;1.30168e-14;6.91068e-15;-9.990E+02;1.24941e-14;8.14107e-15;-9.990E+02;1.89481e-14;1.23464e-14;-9.990E+02
02:32:54.943;+00:26:19.598;2.06E+20;0.8;-999/-999;3.17473e-14;7.428e-15;2.46366e-14;8.05535e-15;-9.990E+02;2.68476e-14;1.03303e-14;-9.990E+02;1.64306e-14;1.02523e-14;-9.990E+02
02:33:01.240;+00:25:18.043;2.07E+20;1.578;+0.40/-0.26;2.43904e-14;3.39542e-15;7.43963e-14;1.4551e-14;-9.990E+02;6.90929e-14;1.57252e-14;-9.990E+02;2.54575e-14;1.08107e-14;-9.990E+02
02:32:29.210;+00:25:48.913;2.05E+20;0.8;-999/-999;1.81912e-14;5.7915e-15;1.88249e-14;7.45898e-15;-9.990E+02;1.4363e-14;7.87786e-15;-9.990E+02;7.13075e-15;-2.09671e-11;3.94156e-11
02:32:28.323;+00:27:37.475;2.05E+20;0.8;-999/-999;1.5637e-14;5.346e-15;1.51807e-14;6.454e-15;-9.990E+02;1.38988e-14;7.5965e-15;-9.990E+02;6.12976e-15;-1.93526e-11;4.46681e-11
02:32:37.556;+00:32:11.219;2.05E+20;0.8;-999/-999;1.41758e-14;5.1975e-15;5.50203e-15;4.03375e-15;-9.990E+02;1.67862e-14;8.73598e-15;-9.990E+02;1.28461e-14;9.41797e-15;-9.990E+02
02:32:44.432;+00:33:50.344;2.06E+20;0.8;-999/-999;1.61485e-14;5.64528e-15;9.40713e-15;5.28719e-15;-9.990E+02;1.43435e-14;8.06165e-15;-9.990E+02;1.46331e-14;1.0064e-14;-9.990E+02
02:32:14.792;+00:28:59.919;2.05E+20;0.042;+0.34/-0.23;1.42942e-13;2.57267e-14;1.57272e-14;6.25134e-15;-9.990E+02;4.50832e-14;1.46595e-14;-9.990E+02;1.28338e-13;3.23376e-14;-9.990E+02
