OBJID;RA;DEC;countrates_0.3-10keV(ph.s-1);countrates_error_0.3-10keV(ph.s-1);exposure_time(s);countrates_0.3-1keV(ph.s-1);countrates_error_0.3-1keV(ph.s-1);upper_limit_0.3-1keV(ph.s-1);countrates_1-2keV(ph.s-1);countrates_error_1-2keV(ph.s-1);upper_limit_1-2keV(ph.s-1);countrates_2-10keV(ph.s-1);countrates_error_2-10keV(ph.s-1);upper_limit_2-10keV(ph.s-1)
4158;0.907541666666674;-0.026265;0.0013859999999999999;0.0005099999999999999;8710.0;0.000231;0.00021150000000000002;-999.0;0.000924;0.0004167;-999.0;0.000231;0.00021150000000000002;-999.0
4159;0.7141041666666581;0.13263805555555555;0.004309;0.00086;7672.8;0.001567;0.0005226;-999.0;0.001959;0.0005822000000000001;-999.0;0.0007835;0.0003705;-999.0
4174;51.873587499999985;-1.0001608333333334;0.03095;0.0059;917.4;0.0041270000000000005;0.00217;-999.0;0.01651;0.004272;-999.0;0.010320000000000001;0.0033909999999999995;-999.0
4175;51.72047083333334;-0.8937097222222222;0.02422;0.0062;575.2;0.02422;0.0062;-999.0;0.01292;-6.194;0.05339;0.008076999999999999;-6.194;0.05339
4189;-2.891754166666715;0.7301213888888889;0.001991;0.0005;11156.4;0.0007468;0.00030189999999999997;-999.0;0.0002489;0.0001792;-999.0;0.0009957;0.00034910000000000003;-999.0
4190;-2.873441666666679;0.6552086111111112;0.01269;0.0012;11087.6;0.0034340000000000004;0.000624;-999.0;0.005674;0.0008;-999.0;0.003583;0.00064;-999.0
4191;-2.844987500000059;0.7918366666666666;0.0008997;0.00036;10973.5;0.0002434;-0.3596;0.001191;0.00072;0.00032280000000000004;-999.0;0.00018;0.00016140000000000002;-999.0
4192;-2.967204166666704;0.8062616666666668;0.0024230000000000002;0.00055;10605.7;0.0006058;0.00028050000000000004;-999.0;0.001212;0.000396;-999.0;0.0006058;0.00028050000000000004;-999.0
4195;29.925579166666665;1.2276269444444445;0.006659999999999999;0.002;2434.6;0.0044399999999999995;0.0016;-999.0;0.0022199999999999998;0.0011330000000000001;-999.0;0.0006832000000000001;-1.9980000000000002;0.007331
4196;29.813454166666673;1.3281230555555554;0.01847;0.0034;1818.9;0.006717;0.002092;-999.0;0.008395999999999999;0.002288;-999.0;0.003358;0.001438;-999.0
4209;17.412116666666662;0.9968086111111111;0.05005;0.0075;1047.5;0.02033;0.004686999999999999;-999.0;0.01564;0.004125;-999.0;0.01408;0.0039380000000000005;-999.0
4210;17.481791666666652;0.9163908333333334;0.00797;0.0032;1083.2;0.0013289999999999999;0.0012900000000000001;-999.0;0.003986;0.002245;-999.0;0.002657;0.0018629999999999999;-999.0
4224;30.540875;1.382838611111111;0.002427;0.0011;3091.8;0.002427;0.0011;-999.0;0.0008454000000000001;-1.099;0.004007;0.0001636;-1.099;0.004007
4227;-18.900583333333373;1.2659652777777777;0.005386;0.0014;3578.6;0.0;-1.399;0.002963;0.0008972999999999999;0.0005687;-999.0;0.004487;0.001269;-999.0
4228;-18.763870833333385;1.2658011111111112;0.0020440000000000002;0.0008900000000000001;3740.4;0.0005110000000000001;0.0004345;-999.0;0.0005110000000000001;0.0004345;-999.0;0.0010220000000000001;0.0006282;-999.0
4229;-18.69809583333341;1.140621111111111;0.002293;0.00095;3919.0;0.0005732000000000001;-0.949;0.0030280000000000003;0.0004587;0.00042469999999999997;-999.0;0.001835;0.0008382;-999.0
4253;9.988129166666653;-0.21251333333333333;0.0032479999999999996;0.0012;3852.7;0.0032479999999999996;0.0012;-999.0;0.002166;-1.199;0.004294;0.0003609;-1.199;0.004294
4254;55.39798333333334;-0.6759916666666667;0.01273;0.0014;7544.3;0.0040409999999999995;0.0007636;-999.0;0.004849;0.0008908999999999999;-999.0;0.003839;0.0007636;-999.0
4255;55.26666666666665;-0.6542097222222223;0.0014939999999999999;0.00057;7550.7;0.0004742;-0.5694;0.0010949999999999998;0.0008294999999999999;0.00044050000000000003;-999.0;0.0006635;0.00039380000000000003;-999.0
4256;55.29766666666666;-0.5227394444444445;0.002132;0.00066;7612.9;0.001066;0.000468;-999.0;0.0007996;0.00040199999999999996;-999.0;0.0002665;0.000234;-999.0
4257;55.30101250000001;-0.49785694444444445;0.002;0.00066;7618.1;0.0008003;0.00041530000000000007;-999.0;0.001201;0.0005117;-999.0;0.0002501;-0.6593;0.0026420000000000003
4258;55.43651666666668;-0.48213083333333334;0.004833;0.001;7442.1;0.0009061;0.00044370000000000005;-999.0;0.002416;0.00075;-999.0;0.00151;0.0005688;-999.0
4259;55.38347916666666;-0.7975744444444445;0.0032380000000000004;0.00084;7225.2;0.0008097000000000001;0.000426;-999.0;0.001889;0.00066;-999.0;0.0005396;0.000348;-999.0
4260;55.277950000000004;-0.49070833333333336;0.00157;0.0006;7618.1;0.00022430000000000003;0.0002236;-999.0;0.0008971;0.0004473;-999.0;0.0004487;0.0003164;-999.0
4261;14.11981666666668;0.5787;0.0018969999999999998;0.00067;6222.9;0.000813;0.000434;-999.0;0.0005419;0.0003578;-999.0;0.0005419;0.0003578;-999.0
4262;14.124775;0.5043322222222222;0.00144;0.00059;6381.1;0.0006171;-0.5894;0.002378;0.0007199;0.00041749999999999996;-999.0;0.0007199;0.00041749999999999996;-999.0
4263;14.010054166666663;0.5781277777777778;0.002209;0.00073;6296.9;0.0009464;0.00047569999999999996;-999.0;0.0009464;0.00047569999999999996;-999.0;0.00031560000000000003;0.00027889999999999995;-999.0
4264;14.204979166666675;0.6616513888888889;0.0023829999999999997;0.00078;6373.8;0.00026480000000000004;0.00026189999999999997;-999.0;0.001059;0.0005292999999999999;-999.0;0.001059;0.0005292999999999999;-999.0
4265;13.952100000000002;0.4961302777777778;0.00145;0.00063;6381.1;0.0007249;0.00044430000000000007;-999.0;0.0006443999999999999;-0.6294;0.002392;0.0007249;0.00044430000000000007;-999.0
4266;13.940070833333323;0.6469102777777778;0.00172;0.0006900000000000001;6381.1;0.0012900000000000001;0.0005974999999999999;-999.0;0.00043;0.0003486;-999.0;0.0008599;-0.6893;0.002845
4268;17.110170833333342;-0.6227441666666667;0.05037;0.0063;1637.2;0.02159;0.004118999999999999;-999.0;0.028789999999999996;0.004765;-999.0;0.01007;-6.294;0.047580000000000004
4276;23.727179166666673;-0.7159599999999999;0.001428;0.0004;14203.2;0.0004285;0.0002215;-999.0;0.0004285;0.0002215;-999.0;0.0005713999999999999;0.0002523;-999.0
4279;23.599429166666653;-0.6633586111111112;0.001413;0.0004;14463.2;0.0005889;0.0002592;-999.0;0.0007065999999999999;0.00028169999999999996;-999.0;0.0001177;0.0001183;-999.0
4280;23.587558333333334;-0.6089825;0.0055520000000000005;0.0007599999999999999;13919.9;0.003193;0.0005671000000000001;-999.0;0.001527;0.0003917;-999.0;0.0008324999999999999;0.0002923;-999.0
4282;23.651437499999986;-0.742753611111111;0.000995;0.00035;14150.4;0.0004423;0.0002333;-999.0;0.0003317;0.0002;-999.0;0.00022119999999999998;0.00016669999999999999;-999.0
