,OBJID,RA,DEC,NH,ENERGY_SLOPE,ENERGY_SLOPE_ERROR,EXPOSURE_TIME,nufnu_3keV(erg.s-1.cm-2),nufnu_error_3keV(erg.s-1.cm-2),nufnu_0.5keV(erg.s-1.cm-2),nufnu_error_0.5keV(erg.s-1.cm-2),upper_limit_0.5keV(erg.s-1.cm-2),nufnu_1.5keV(erg.s-1.cm-2),nufnu_error_1.5keV(erg.s-1.cm-2),upper_limit_1.5keV(erg.s-1.cm-2),nufnu_4.5keV(erg.s-1.cm-2),nufnu_error_4.5keV(erg.s-1.cm-2),upper_limit_4.5keV(erg.s-1.cm-2),OBJID,ALPHA_J2000,DELTA_J2000,MAG_AUTO,MAGERR_AUTO,CLASS_STAR,FLUX_RADIUS,FLAGS
24,89,-4.53567083333337,0.23036111111111116,3.4e+20,0.8,-999/-999,10049.5,2.0123900000000002e-14,6.88597e-15,3.66678e-15,3.9126e-15,-999.0,4.09557e-14,1.56282e-14,-999.0,7.723059999999997e-15,8.24081e-15,-999.0,6419821,-4.536873633466428,0.23116096694295388,21.787229537963867,0.016656039282679558,0.9200813174247742,2.24592924118042,3
25,90,-37.302070833333346,-0.24483222222222226,3.53e+20,0.8,-999/-999,18847.9,2.1818700000000002e-14,5.50407e-15,4.70393e-15,3.5092e-15,-999.0,2.92974e-14,1.00152e-14,-999.0,2.94313e-14,1.23476e-14,-999.0,5273759,-37.30208282308331,-0.2450300274982717,22.197948455810547,0.047158244997262955,0.017575230449438095,3.594054698944092,0
26,91,-37.242770833333395,-0.2783730555555555,3.52e+20,0.8,-999/-999,11753.3,2.6073400000000003e-14,6.20796e-15,2.38762e-14,8.12151e-15,-999.0,2.64552e-14,1.01247e-14,-999.0,9.96848e-15,7.627400000000001e-15,-999.0,5270595,-37.243524508697305,-0.27890081512745696,22.28890037536621,0.03977522626519203,0.9421596527099609,2.081942319869995,0
27,92,-37.32775833333335,-0.3497025,3.53e+20,0.8,-999/-999,16981.3,1.78953e-14,5.22181e-15,2.2687e-14,8.045050000000002e-15,-999.0,1.04697e-14,6.321220000000001e-15,-999.0,5.25998e-15,5.44285e-15,-999.0,5262834,-37.32913877930514,-0.3499140872208492,19.88695526123047,0.004102564882487059,0.04010032117366791,2.7551920413970947,0
28,93,-37.26557916666667,-0.20340083333333334,3.53e+20,0.8,-999/-999,19003.0,2.94256e-14,6.0685899999999995e-15,7.352e-15,4.07295e-15,-999.0,3.052870000000001e-14,9.75387e-15,-999.0,5.1138e-14,1.56812e-14,-999.0,5277684,-37.266228825389476,-0.20255965869010745,23.84917449951172,0.12384577095508575,0.0003168292751070112,3.1115245819091797,3
29,94,-37.243425,-0.36102416666666665,3.52e+20,1.884,+0.22/-0.17,4568.4,5.69139e-14,5.18184e-15,3.57518e-13,3.4713699999999994e-14,-999.0,1.72652e-13,-3.84064e-11,3.0991e-13,5.48561e-14,1.46733e-14,-999.0,5261350,-37.24359646885625,-0.360122361079888,24.124679565429688,0.1317165195941925,0.8341985940933228,1.8118059635162354,0
30,95,-37.39779583333342,-0.2315175,3.54e+20,0.8029999999999999,+0.20/-0.16,17956.2,1.07419e-13,1.15489e-14,7.22471e-14,1.28828e-14,-999.0,9.65229e-14,1.7475799999999994e-14,-999.0,1.15346e-13,2.33387e-14,-999.0,5274963,-37.398054877502375,-0.23039621243053526,24.003963470458984,0.16128553450107574,0.7079138159751892,2.5747663974761963,0
31,96,-37.405333333333374,-0.4312275,3.54e+20,0.72,+0.12/-0.10,10993.3,2.91946e-13,1.95533e-14,1.64495e-13,1.9257599999999998e-14,-999.0,2.54213e-13,2.7554400000000003e-14,-999.0,3.23833e-13,3.95937e-14,-999.0,5253429,-37.40541358676904,-0.4311020031716197,18.8012638092041,0.0016829036176204681,0.9485393166542053,2.0555737018585205,0
32,97,-37.48303750000002,-0.3515644444444444,3.54e+20,0.8,-999/-999,18753.3,5.19119e-14,8.75316e-15,2.71988e-14,8.63841e-15,-999.0,8.14762e-14,1.73585e-14,-999.0,1.88912e-14,1.0292499999999999e-14,-999.0,5262461,-37.48272519111151,-0.3518609013641865,20.25237464904785,0.004253516439348459,0.17608848214149475,2.7792272567749023,3
33,99,-37.490004166666715,-0.3498183333333333,3.54e+20,0.8,-999/-999,18007.3,2.0315799999999998e-14,6.21192e-15,2.23362e-14,8.88685e-15,-999.0,1.02991e-14,6.91617e-15,-999.0,1.55197e-14,1.0422e-14,-999.0,5262816,-37.490161119145796,-0.3495119545926518,21.519386291503906,0.022241365164518356,0.020550936460494995,3.8871092796325684,2
34,102,-34.31677916666672,0.6143169444444444,4.37e+20,0.8,-999/-999,3021.1,7.882560000000003e-14,2.46466e-14,2.99494e-14,2.03452e-14,-999.0,7.863060000000002e-14,4.00926e-14,-999.0,1.1748e-13,5.99015e-14,-999.0,3875086,-34.31617314043723,0.6147198290511868,17.41916275024414,0.0014975301455706358,0.02862747572362423,10.71869945526123,0
35,103,-34.39530833333339,0.2777469444444444,4.35e+20,0.8,-999/-999,2913.8,5.4927800000000004e-14,2.17335e-14,6.25009e-14,3.226740000000001e-14,-999.0,2.7407999999999997e-14,2.3573099999999998e-14,-999.0,4.09581e-14,3.5227300000000005e-14,-999.0,3839092,-34.39460579049893,0.27871089222472,19.865358352661133,0.004606936126947403,0.913938045501709,1.8546754121780396,0
36,112,-31.375012500000025,0.6371858333333333,5.34e+20,0.8,-999/-999,4613.0,6.91511e-14,1.6421900000000006e-14,1.7087400000000004e-14,1.1487999999999999e-14,-999.0,1.0587000000000001e-13,3.09455e-14,-999.0,6.26443e-14,2.97534e-14,-999.0,3440333,-31.375142817093888,0.6377808264396141,22.196670532226562,0.03801215812563896,0.0003204080567229539,4.552097797393799,0
