,A,A,A,A,B,B,B,B,AB_MAG_AUTO,AB_MAG_AUTO,AB_MAG_AUTO,AB_MAG_AUTO,AB_MAG_AUTO
,RA,DEC,OBJID_A,pos_err,OBJID_B,ALPHA_J2000,DELTA_J2000,MAG_AUTO,Reliability,LR,duplicates,duplicates_LR,duplicates_R
OBJID_A,,,,,,,,,,,,,
51,24.57530833333334,-0.6624166666666667,51.0,5.0,10332433.0,24.575558976454268,-0.6627113732940955,22.63390350341797,0.7075751223596721,0.007884247968491085,10332663,0.0032583822899020175,0.2924248776403278
52,24.86360416666668,-0.5181958333333334,52.0,5.0,10347523.0,24.863112139544143,-0.5188316726766771,22.349245071411133,0.5657185299344644,0.007371096067300307,10347561,0.005658521449655007,0.4342814700655355
53,24.81062916666667,-0.7864055555555556,53.0,5.0,,,,,,,,,
54,24.899308333333327,-0.5684155555555556,54.0,5.0,10342671.0,24.89964529105835,-0.5688669491500888,19.30616950988769,0.8338146952561049,0.023673542783358092,10342481,0.004718308449351118,0.16618530474389526
55,24.72829583333333,-0.4387861111111111,55.0,5.0,,,,,,,,,
56,24.93250833333332,-0.5957519444444445,56.0,5.0,10339535.0,24.93229957195798,-0.5973184406730213,20.095985412597656,0.687671132071989,0.020540765208711467,10339617;10339681,0.006190915197095651;0.0031383610292914695,0.20726168761925648;0.10506718030875443
57,31.174004166666666,0.8323011111111109,57.0,5.0,13079514.0,31.17356559885837,0.8327340507760159,19.480323791503906,0.6189277193601842,0.02933187967733179,13079012;13079035;13079158,0.003984937045003821;0.004526095924835783;0.009548533493992852,0.08408557597364605;0.09550449064909233;0.20148221401707742
58,31.26727916666667,0.8699991666666667,58.0,5.0,13083027.0,31.26650726299557,0.8702689971955458,19.685623168945312,0.8679453601466287,0.024267240440705537,13082933,0.003692169857433374,0.13205463985337126
59,31.19017916666667,0.6675958333333333,59.0,5.0,13061040.0,31.190371336667962,0.667473124698051,17.911914825439453,0.6665735805751868,0.03114410277625634,13060704;13060965,0.007449317143660962;0.00812925809168657,0.15943686151317948;0.17398955791163379
60,31.306570833333325,0.8727577777777779,60.0,5.0,13083527.0,31.307017996559505,0.8736040947064824,20.304515838623047,0.8362519837990059,0.02336214992036904,13083107,0.004574584907137399,0.16374801620099402
61,31.073108333333327,0.80852,61.0,5.0,13076696.0,31.07272014428373,0.8086596647936802,20.318708419799805,0.3509957867924486,0.025335768563701157,13076823;13076731;13076744;13076838;13077138,0.02382804177680613;0.005992468492565176;0.0032249443019560318;0.004905452202254253;0.008895867921228632,0.3301080940230858;0.08301825097938173;0.04467762088135851;0.06795898261281931;0.1232412647109061
62,-51.04182500000002,-0.43094166666666667,62.0,5.0,,,,,,,,,
63,-51.01725833333336,-0.3938183333333334,63.0,5.0,,,,,,,,,
64,-51.02720000000005,-0.5404038888888889,64.0,5.0,,,,,,,,,
65,-50.829441666666696,-0.3894686111111112,65.0,5.0,,,,,,,,,
66,-10.263595833333397,0.24409027777777775,66.0,5.0,,,,,,,,,
67,-10.206308333333368,0.3162986111111111,67.0,5.0,,,,,,,,,
68,-10.361666666666737,0.2792788888888889,68.0,5.0,,,,,,,,,
69,-10.358254166666713,0.23239749999999998,69.0,5.0,,,,,,,,,
70,-10.33584166666668,0.3438605555555556,70.0,5.0,,,,,,,,,
71,-10.180237500000034,0.3009280555555555,71.0,5.0,,,,,,,,,
72,-10.264437500000042,0.3747383333333333,72.0,5.0,,,,,,,,,
73,-10.196008333333397,0.3477027777777777,73.0,5.0,7148651.0,-10.19651987223881,0.346327284042368,19.820117950439453,0.6578276272587145,0.015327498715880473,7148742;7148730,0.003937944169098883;0.004034731933997017,0.1690092112910544;0.17316316145023117
74,-10.161458333333373,0.24862194444444444,74.0,5.0,,,,,,,,,
75,-10.378916666666727,0.2137716666666667,75.0,5.0,,,,,,,,,
76,-10.231050000000039,0.3931333333333333,76.0,5.0,7153127.0,-10.230986225176368,0.39291404825858506,20.97632598876953,0.41887225973755515,0.015048220713857792,7152984;7152992;7153066;7153085,0.00585119561822959;0.005103684941218753;0.006268708816225334;0.003653750422129698,0.16286998824500834;0.14206277838204182;0.17449160783978745;0.10170336579560722
77,-10.409416666666688,0.2326444444444445,77.0,5.0,,,,,,,,,
78,-10.293600000000025,0.11006527777777778,78.0,5.0,,,,,,,,,
79,-10.434320833333343,0.2619730555555556,79.0,5.0,,,,,,,,,
80,-10.320641666666688,0.11137472222222222,80.0,5.0,,,,,,,,,
81,-10.257654166666725,0.10552444444444443,81.0,5.0,,,,,,,,,
82,-10.188045833333376,0.12102222222222225,82.0,5.0,7129206.0,-10.187848218632837,0.12072047726290125,18.52275276184082,1.0,0.04666533878940442,,,
83,-10.082633333333376,0.16908944444444446,83.0,5.0,7133221.0,-10.082657748177835,0.16902281909630895,19.252365112304688,0.7879112162071352,0.025132759178283486,7133067,0.006765199197367177,0.2120887837928649
84,-4.415945833333353,0.26130722222222225,84.0,5.0,6422765.0,-4.416116749853927,0.2616051444979694,20.10804748535156,0.9124578656895294,0.028769091462798047,6422467,0.0027601358523259454,0.08754213431047068
85,-4.396770833333393,0.18911888888888886,85.0,5.0,6416615.0,-4.396187624195648,0.1903644326122323,21.14607810974121,0.5346232483462261,0.011224017846903621,6231616;6231697,0.004059081953867492;0.0057111571486290055,0.19334249188483305;0.27203425976894097
86,-4.38110000000006,0.14869527777777775,86.0,5.0,6227337.0,-4.380337970056189,0.14881873352843164,21.901081085205078,0.6684261107373218,0.010175907605677366,6227295,0.00504777597312929,0.33157388926267817
87,-4.507604166666682,0.29244472222222223,87.0,5.0,6425388.0,-4.508311547087602,0.2922739976695937,18.894733428955078,0.7854697308129658,0.027734324810457636,6425244,0.0075748968214853895,0.21453026918703422
88,-4.26406250000008,0.2397566666666667,88.0,5.0,,,,,,,,,
89,-4.53567083333337,0.23036111111111116,89.0,5.0,6419844.0,-4.537194285093734,0.2311490234121672,20.91904830932617,0.49800083763989694,0.011581072921906353,6419821;6419759,0.007713238419886793;0.003960816052752716,0.33167904389531816;0.17032011846478493
90,-37.302070833333346,-0.24483222222222226,90.0,5.0,5273759.0,-37.30208282308331,-0.2450300274982717,22.197948455810547,0.4935340597543082,0.008243678103743206,5273793;5273845,0.00413034799663253;0.0043293359894607504,0.2472764449706642;0.2591894952750277
91,-37.242770833333395,-0.2783730555555555,91.0,5.0,5270595.0,-37.243524508697305,-0.27890081512745696,22.28890037536621,0.5985621088142812,0.006785003003778149,5270629,0.004550500703963841,0.4014378911857188
92,-37.32775833333335,-0.3497025,92.0,5.0,5262834.0,-37.32913877930514,-0.3499140872208492,19.88695526123047,0.8455454738325885,0.018466987243671563,5262922,0.0033733369200503317,0.15445452616741143
93,-37.26557916666667,-0.20340083333333334,93.0,5.0,5277684.0,-37.266228825389476,-0.20255965869010745,23.84917449951172,0.48195908575179724,0.004747990711590363,5277765;5277772,0.0021120036958874044;0.0029914449614555478,0.21438529100099268;0.3036556232472101
94,-37.243425,-0.36102416666666665,94.0,5.0,5261314.0,-37.2426319164744,-0.3603492202691541,23.68514060974121,0.36589832666427274,0.00493649272595903,5261350;5261275,0.004157080997582925;0.004397859186148477,0.3081274632138619;0.3259742101218653
95,-37.39779583333342,-0.2315175,95.0,5.0,5274963.0,-37.398054877502375,-0.2303962124305353,24.003963470458984,1.0,0.004361487297885837,,,
96,-37.405333333333374,-0.4312275,96.0,5.0,5253429.0,-37.405413586769036,-0.4311020031716197,18.8012638092041,0.6984212673905548,0.031545195173369324,5252985;5253041;5253213,0.003803147943580014;0.0047039066553028405;0.005114180069193875,0.08420297900300575;0.10414608087944105;0.11322967272699849
97,-37.48303750000002,-0.3515644444444444,97.0,5.0,5264189.0,-37.48341791892835,-0.3522223482228439,16.984460830688473,0.6822778193917121,0.061172965086948625,5262461,0.028486940816906874,0.3177221806082879
98,-37.49527916666671,-0.2778411111111111,98.0,5.0,,,,,,,,,
99,-37.490004166666715,-0.3498183333333333,99.0,5.0,5262787.0,-37.4901431954711,-0.3504444519227429,21.134992599487305,0.4949880900458787,0.013517912694039867,5262816;5262756,0.010842417039868407;0.00294924188181876,0.397018935061745;0.10799297489237622
100,-34.34289166666673,0.4698505555555556,100.0,5.0,,,,,,,,,
101,-34.51265416666672,0.3440125,101.0,5.0,,,,,,,,,
102,-34.31677916666672,0.6143169444444444,102.0,5.0,3875086.0,-34.31617314043723,0.6147198290511868,17.41916275024414,1.0,0.05340219927534519,,,
103,-34.39530833333339,0.2777469444444444,103.0,5.0,3839092.0,-34.39460579049893,0.27871089222471995,19.865358352661133,0.9017217368138822,0.018983487275023088,3838815,0.0020690020905973945,0.09827826318611774
104,37.032816666666655,-1.2609530555555557,104.0,5.0,,,,,,,,,
105,37.11680833333333,-1.1783494444444444,105.0,5.0,,,,,,,,,
106,36.92930000000001,-1.2499686111111112,106.0,5.0,,,,,,,,,
107,37.06733333333332,-1.1099230555555557,107.0,5.0,,,,,,,,,
108,36.90785416666665,-1.2340722222222222,108.0,5.0,,,,,,,,,
109,36.9055625,-1.1552113888888889,109.0,5.0,,,,,,,,,
110,37.03090416666666,-1.4339708333333334,110.0,5.0,,,,,,,,,
111,36.82920416666667,-1.3036919444444446,111.0,5.0,,,,,,,,,
112,-31.375012500000025,0.6371858333333333,112.0,5.0,3440333.0,-31.37514281709389,0.6377808264396141,22.19667053222656,0.41499710623126096,0.007900559586891733,3440173;3440230,0.004716730795851027;0.006420335345878762,0.24775835301561822;0.3372445407531208
113,-31.386020833333422,0.6442858333333333,113.0,5.0,3441764.0,-31.38647897938097,0.6429047813553248,16.474983215332028,1.0,0.03032711652915825,,,
114,-31.349975000000033,0.6846655555555555,114.0,5.0,3444866.0,-31.34983682566144,0.6854174417833069,18.411418914794922,0.379248538527169,0.03764689156686206,3444552;3444689;3444690;3444931,0.006788707356430516;0.005190850435718195;0.014480050224832671;0.03516057132713667,0.06838831139198653;0.05229176592077752;0.14586962314842522;0.3542017610116417
115,-31.383041666666713,0.6331697222222222,115.0,5.0,3439711.0,-31.38409694831438,0.6322597448706964,20.913015365600586,0.49632761737236597,0.013310547687940861,3439744;3439624,0.00731191225105185;0.006195607849394583,0.27264873475403917;0.23102364787359486
116,-31.377395833333374,0.6203811111111112,116.0,5.0,3438344.0,-31.377396073990326,0.6196430943038724,23.49744415283203,1.0,0.004422263012924031,,,
117,-31.394162500000053,0.7202902777777778,117.0,5.0,3448473.0,-31.39321992800797,0.7210120052285931,18.75733757019043,1.0,0.0251060780897973,,,
118,-31.402654166666714,0.7819927777777779,118.0,5.0,,,,,,,,,
119,-31.418295833333392,0.8077066666666667,119.0,5.0,,,,,,,,,
120,-31.18275416666665,0.5477311111111111,120.0,5.0,,,,,,,,,
121,-4.068425000000103,0.3271725,121.0,5.0,6248619.0,-4.069393158281969,0.3270886379271007,23.005878448486328,0.6398303042465725,0.005996467608560549,6248415,0.0033754980028864513,0.3601696957534275
122,-4.075475000000097,0.3157716666666667,122.0,5.0,,,,,,,,,
123,-4.085916666666776,0.3218402777777777,123.0,5.0,6247849.0,-4.085033716884368,0.3216624938665718,24.074670791625977,0.6139490924369908,0.004261890183084654,6247650,0.0026798745912024738,0.38605090756300925
124,-4.088695833333418,0.3075791666666667,124.0,5.0,,,,,,,,,
125,-4.063145833333408,0.27689250000000004,125.0,5.0,6241668.0,-4.062799684635594,0.2754499449313804,22.040302276611328,0.3943045420983082,0.007567437970176636,6241802;6241647;6241765,0.004732236250849188;0.00330392376824087;0.0035882630273632375,0.2465751626040153;0.1721523392326564;0.18696795606502012
126,-4.102458333333401,0.3301502777777778,126.0,5.0,6250757.0,-4.101413664715096,0.3309656517271547,17.434236526489258,0.6637605218178595,0.041628815282144724,6249123;6249161;6249383,0.004232437828873142;0.00448877859078416;0.012366586587177745,0.06748510912006306;0.0715723952159089;0.19718197384616853
127,-4.1063875000000385,0.321965,127.0,5.0,6247892.0,-4.1052905866357605,0.32196160339539265,24.10968780517578,0.5000444150190749,0.003973413683723785,6247999,0.003972707829446628,0.49995558498092524
128,-4.095529166666721,0.2890883333333333,128.0,5.0,6243164.0,-4.0959011816880775,0.2881788700239155,23.45136260986328,0.60394012844959,0.004328138804926525,6243435,0.0028383642986800246,0.39605987155041
129,-4.053458333333366,0.2605222222222222,129.0,5.0,6239847.0,-4.0523164806205045,0.25962846796682953,23.75150489807129,1.0,0.004414572607509727,,,
130,-3.9884666666666817,0.2916255555555555,130.0,5.0,6244150.0,-3.988528186407677,0.2916076828440997,18.90463638305664,0.862392657064066,0.030124696705318168,6243500,0.004806835304560997,0.13760734293593396
131,-4.069475000000068,0.2527402777777778,131.0,5.0,6239088.0,-4.070824868379816,0.2527840636576025,23.97032928466797,0.40256722973870546,0.004262757571879782,6239012;6239161,0.00252895901269887;0.003797216783511474,0.23883038307899052;0.358602387182304
132,-3.9807708333333953,0.381615,132.0,5.0,,,,,,,,,
133,-3.970870833333379,0.3866111111111111,133.0,5.0,,,,,,,,,
134,-4.138500000000022,0.24161444444444444,134.0,5.0,6237850.0,-4.137423067927443,0.24164305314078666,23.71182632446289,0.4231181139899643,0.005015790304534655,6237738;6237637,0.0039056273798544106;0.0029329325282175783,0.32946785861792127;0.2474140273921145
135,-4.031662500000095,0.17941972222222222,135.0,5.0,6231536.0,-4.031081893710791,0.1798368383121487,18.305423736572266,1.0,0.03464986088681361,,,
143,40.903616666666665,0.5251694444444445,143.0,5.0,14850121.0,40.90395439864765,0.5258814018654541,19.601612091064453,0.582732962114953,0.03072779985520994,14849845;14849896;14849933,0.005631488537467269;0.004806095780043343;0.011565114791483247,0.1067975583028375;0.09114451549768132;0.21932496408452812
144,-25.59322083333336,0.66396,144.0,5.0,17030000.0,-25.593819136901,0.6638070143354298,21.57473373413086,0.5604692987455776,0.009871189028522864,17029818;17029954;17030111,0.002841022384241273;0.003401417539212181;0.0014987345630568982,0.16130841166299392;0.19312669400156687;0.0850955955898615
145,-25.530204166666692,0.5753808333333333,145.0,5.0,17017379.0,-25.52992700316366,0.5742717784910198,20.278430938720703,0.5653061323635749,0.023188565453548,17017278;17017127;17017261;17017265,0.004732790817530114;0.002794527164248469;0.004110261496347878;0.006193338364208751,0.11537909396350454;0.06812682510140085;0.10020266385852773;0.15098528471299213
146,-25.713650000000033,0.4543566666666667,146.0,5.0,17002110.0,-25.713166114992475,0.4547819855221871,19.206748962402344,0.7056620164709627,0.02755502042500613,17001424;17001491,0.00570951597235263;0.005783931256901037,0.14621613382900006;0.14812184970003728
147,-25.68770833333332,0.4380411111111111,147.0,5.0,16998367.0,-25.68673195561246,0.43754145805202505,19.812013626098636,0.90013092473824,0.01701236778882576,16998155,0.0018875136853864435,0.09986907526176009
156,-6.176216666666732,1.05196,156.0,5.0,,,,,,,,,
157,-6.15967500000005,0.9645838888888888,157.0,5.0,,,,,,,,,
158,-47.75594583333333,0.4555405555555556,158.0,5.0,,,,,,,,,
159,-48.0406625,0.4364280555555556,159.0,5.0,,,,,,,,,
160,21.37065000000001,-0.0984472222222222,160.0,5.0,,,,,,,,,
161,21.29929166666668,-0.024565277777777776,161.0,5.0,10571100.0,21.298382692358558,-0.025017882779800497,21.99978828430176,0.30051495242005344,0.009546050614374425,10571091;10571009;10571053;10571068;10571216,0.005893037850384395;0.0032313863651136756;0.004718640677574113;0.003079052358456893;0.005297474866678925,0.18551609045013373;0.10172582976887797;0.14854541799445922;0.09693027099680465;0.1667674383696709
162,21.347562500000013,-0.18218694444444444,162.0,5.0,,,,,,,,,
163,21.197441666666666,-0.04707194444444445,163.0,5.0,,,,,,,,,
164,21.434745833333324,-0.26197944444444443,164.0,5.0,,,,,,,,,
165,-21.728679166666666,0.7389477777777778,165.0,5.0,2317877.0,-21.728691222789852,0.7406705456689393,21.88368797302246,0.4144838138521345,0.007340938279235535,2317664;2317455,0.00732411253987498;0.0030459864612364233,0.41353379951394403;0.1719823866339214
166,-21.618554166666684,0.7193247222222222,166.0,5.0,2315422.0,-21.618451679856378,0.718286269409775,20.148733139038086,0.7754189062981967,0.027494480665276603,2315514;2315507,0.0048356864484598635;0.0031274164478168696,0.13637946985488317;0.08820162384692024
167,-21.550012500000037,0.7261766666666667,167.0,5.0,,,,,,,,,
168,17.747337500000018,0.4336780555555556,168.0,5.0,,,,,,,,,
169,17.662450000000007,0.3681672222222222,169.0,5.0,,,,,,,,,
170,17.624841666666672,0.439565,170.0,5.0,,,,,,,,,
172,17.618479166666674,0.4520169444444445,172.0,5.0,9446590.0,17.61878291297663,0.4509067994054392,24.576284408569336,1.0,0.0035377792498924483,,,
173,17.64011666666667,0.4921788888888889,173.0,5.0,,,,,,,,,
174,17.802562499999993,0.4863183333333334,174.0,5.0,9852266.0,17.80218051214561,0.4857875704941717,20.562746047973636,0.8431308252388964,0.01693925255718778,9852318,0.00315164205858924,0.15686917476110354
175,17.613616666666672,0.46141499999999996,175.0,5.0,9448011.0,17.613599932386233,0.4622441745560356,21.950075149536133,1.0,0.01037909321267471,,,
176,17.83252916666666,0.4238894444444445,176.0,5.0,9845775.0,17.831989913724602,0.423134545394641,19.134336471557614,0.9587242123716517,0.03488019499502328,9845504,0.0015016909998428764,0.04127578762834835
177,17.832570833333335,0.4476280555555556,177.0,5.0,9848093.0,17.832570237877878,0.4478262114625686,19.07217788696289,0.5889916204302161,0.042141075710562824,9847900;9848259,0.0036652623061072874;0.025741497722965353,0.0512281366475609;0.35978024292222294
178,17.808691666666675,0.3323383333333333,178.0,5.0,9835551.0,17.80937099320121,0.33263505877291083,20.38148307800293,0.62113548886581,0.022776801451764913,9835419;9835443;9835540,0.005510188053418261;0.004927483661315384;0.0034551453950736133,0.1502657586733844;0.1343751000038797;0.09422365245692585
180,17.875645833333326,0.41814666666666667,180.0,5.0,9845593.0,17.876583773851408,0.4185405889854961,18.438108444213867,0.7189683882161659,0.03692272662272001,9844529;9844579;9844655,0.003763414073592743;0.005199387866191986;0.005469617543889547,0.07328212183051615;0.10124375569724266;0.10650573425607524
181,17.819320833333336,0.54772,181.0,5.0,9860575.0,17.81955842681616,0.5478288509847413,19.336200714111328,0.5371753659667656,0.025810523751943766,9859997;9860000;9860106;9860210,0.004298329124417242;0.005780819172571616;0.006462626805049567;0.005696300145884514,0.08945794911583511;0.12031191945029766;0.134501878089463;0.11855288737763855
182,17.87071666666668,0.552365,182.0,5.0,9862371.0,17.871620626945074,0.5518121255358405,18.004119873046875,0.6023020951956455,0.02931000049827652,9860692;9860714;9860856,0.010898646488206619;0.0038092548998411367;0.004645386407162015,0.2239603378727169;0.07827779489268537;0.09545977203895224
183,17.874587499999986,0.5751644444444445,183.0,5.0,9863786.0,17.87476028183779,0.5754033907743041,18.46357536315918,1.0,0.043611117253101475,,,
184,-42.17260833333336,-1.2307424999999999,184.0,5.0,,,,,,,,,
185,-42.1425916666667,-1.0669233333333332,185.0,5.0,,,,,,,,,
186,-42.153925000000015,-1.3498844444444444,186.0,5.0,,,,,,,,,
187,-42.01347916666674,-1.2630952777777775,187.0,5.0,,,,,,,,,
190,-0.8891708333333668,-0.3926611111111111,190.0,5.0,54716.0,-0.8888047371038965,-0.3919366828237232,24.438655853271484,0.526760800137565,0.0043137816177527795,54691,0.0038754792699712574,0.473239199862435
191,-0.8741333333333614,-0.4161052777777778,191.0,5.0,,,,,,,,,
193,-0.8887000000000285,-0.6249880555555556,193.0,5.0,,,,,,,,,
194,-0.9679916666667054,-0.6650138888888889,194.0,5.0,29199.0,-0.9671902714484304,-0.6654310405821939,21.431053161621094,1.0,0.012981615771440724,,,
195,-0.909820833333356,-0.6449597222222222,195.0,5.0,,,,,,,,,
196,-0.8507208333333551,-0.6708388888888889,196.0,5.0,,,,,,,,,
197,5.667445833333347,1.3046308333333334,197.0,5.0,,,,,,,,,
198,5.654483333333332,1.2599130555555555,198.0,5.0,,,,,,,,,
199,5.648587499999992,1.3678375,199.0,5.0,,,,,,,,,
200,5.566183333333328,1.2872502777777777,200.0,5.0,,,,,,,,,
201,5.627737499999995,1.3735225,201.0,5.0,,,,,,,,,
202,5.615637499999992,1.403679722222222,202.0,5.0,,,,,,,,,
203,5.737487499999987,1.3578941666666668,203.0,5.0,,,,,,,,,
204,5.5876916666666725,1.4115369444444443,204.0,5.0,,,,,,,,,
205,5.513608333333337,1.3264274999999999,205.0,5.0,,,,,,,,,
206,5.763658333333326,1.2589719444444445,206.0,5.0,,,,,,,,,
207,5.631558333333344,1.152033611111111,207.0,5.0,,,,,,,,,
208,5.652883333333335,1.1473869444444444,208.0,5.0,,,,,,,,,
209,5.630295833333322,1.1366938888888891,209.0,5.0,,,,,,,,,
210,5.71982083333333,1.4547513888888888,210.0,5.0,,,,,,,,,
211,23.66988333333333,0.6168311111111111,211.0,5.0,11000024.0,23.669712987347477,0.6167134386389509,18.83268165588379,1.0,0.030511708759339135,,,
212,23.602354166666654,0.6251916666666667,212.0,5.0,,,,,,,,,
213,23.709475,0.5924955555555556,213.0,5.0,10996975.0,23.70772683146502,0.5927697970037208,24.97271728515625,1.0,0.002120583527302158,,,
214,23.57552916666665,0.5800841666666666,214.0,5.0,10995784.0,23.57620493578733,0.5800586781145404,20.81195068359375,0.5547175533191762,0.016390308776402775,10995563;10995762;10995835,0.005848431506068751;0.0032808903404128427;0.00402749417662966,0.19793572287496966;0.11103924197953789;0.13630748182631638
215,23.72207499999999,0.5588919444444445,215.0,5.0,10995001.0,23.72295530197454,0.5594221394990136,17.996479034423828,0.6367675162239859,0.02958629652289322,10993406;10993521,0.0030585229996915497;0.013818443393744816,0.0658266942035323;0.2974057895724818
216,23.5694125,0.5489061111111111,216.0,5.0,10992491.0,23.56999241576022,0.5486310188093402,23.40998268127441,0.37870065544057124,0.005024629361110484,10992538;10992403,0.004244757793378527;0.003998689594057806,0.3199226137912891;0.3013767307681395
217,23.74301666666668,0.6016880555555555,217.0,5.0,10998036.0,23.74296078676814,0.6000311624591521,20.676570892333984,0.47009233603817774,0.013162241791948998,10997951;10997984;10998280,0.008812195907375584;0.00289056606634235;0.003134265277681284,0.31472949860700367;0.10323719743780459;0.11194096791701393
218,23.739837499999997,0.6616963888888889,218.0,5.0,11004768.0,23.741594111356157,0.6622506828230094,22.91922378540039,0.5226940433726924,0.004638536040406608,11004823,0.004235749211585883,0.4773059566273075
219,23.67366250000001,0.7247772222222222,219.0,5.0,11012079.0,23.673902361556586,0.7252258569852965,24.12518882751465,0.35205435161839194,0.0044839280605785715,11011921;11012204,0.004382463102819475;0.0038700742146493454,0.3440878589732675;0.30385778940834063
